group,key,threat,claims,title,year,doi,arxiv,openalex,reason
A,10.1103/physrevb.73.094423,3,R9,Matrix product states represent ground states faithfully,2006,10.1103/physrevb.73.094423,,https://openalex.org/W2066972040,MPS approximation/truncation error bounds
A,10.1103/physrevlett.100.030504,3,R9;R10,Entropy Scaling and Simulability by Matrix Product States,2008,10.1103/physrevlett.100.030504,,https://openalex.org/W2054381333,MPS simulability vs entropy (truncation error bounds)
B1,10.1016/j.jat.2014.06.002,3,R6,The rate of linear convergence of the Douglas–Rachford algorithm for subspaces is the cosine of the Friedrichs angle,2014,10.1016/j.jat.2014.06.002,1309.4709,https://openalex.org/W2963899645,Sharp linear rate for Douglas-Rachford on subspaces equal to cosine of Friedrichs angle; sharp angle-based rate for projection compositions but no multilinear tree setting
B1,10.48550/arxiv.2608.16994,3,R9,Basis-update and Galerkin time integration in canonical matrix-product-state form,2026,10.48550/arxiv.2608.16994,,https://openalex.org/W7203755620,First-order error bound for tree-tensor-network BUG transferred to canonical MPS sweeps; first-order stability of tensor networks under projections
B1,onthetruncatedmultilinearsingularvaluedecomposition,3,R1a;R9,On the truncated multilinear singular value decomposition,2011,,,https://openalex.org/W2522330017,Exact error expressions and bounds for truncated and sequentially truncated MLSVD with orthogonal factors; truncation error bound for a Tucker (one-node tree) format
B1,10.1016/j.jat.2021.105648,3,R6,Error bounds for the method of simultaneous projections with infinitely many subspaces,2021,10.1016/j.jat.2021.105648,2007.10664,,Optimal error bound for simultaneous projection method via Friedrichs angle cosine in product space; sharp rate for projection methods under different assumptions
B1,10.48550/arxiv.1309.4709,3,R6,The rate of linear convergence of the Douglas-Rachford algorithm for subspaces is the cosine of the Friedrichs angle,2013,10.48550/arxiv.1309.4709,,https://openalex.org/W2139454198,Sharp linear rate for Douglas-Rachford on subspaces equal to cosine of Friedrichs angle; sharp angle-based rate for projection compositions but no multilinear tree setting
B1,10.1090/s0894-0347-02-00398-3,3,R1b;R6,The method of alternating projections and the method of subspace corrections in Hilbert space,2002,10.1090/s0894-0347-02-00398-3,,https://openalex.org/W1530115438,Identity giving the sharpest possible estimate for norms of products of nonexpansive operators and alternating projections; sharp product-of-projections bound under different assumptions
B1,10.1080/01630569408816580,3,R1b;R6,The rate of convergence of dykstra's cyclic projections algorithm: The polyhedral case,1994,10.1080/01630569408816580,,https://openalex.org/W2047043241,Dykstra cyclic projections rate with best possible constant given by cosine of angle between half-spaces; sharp angle constant for projection compositions
B1,10.1016/j.jat.2006.02.005,3,R1a;R1b;R6,The rate of convergence for the cyclic projections algorithm I: Angles between convex sets,2006,10.1016/j.jat.2006.02.005,,https://openalex.org/W2100885264,convergence rate/error bound for products of projections
B1,10.1016/j.laa.2020.05.023,3,R1a;R6,"On angles, projections and iterations",2020,10.1016/j.laa.2020.05.023,2004.07540,https://openalex.org/W3016335972,"angles, projections and iterations; possible rate results"
B1,10.1137/s0895479896305696,3,R1a;R9,A Multilinear Singular Value Decomposition,2000,10.1137/s0895479896305696,,https://openalex.org/W2013912476,HOSVD; known Tucker truncation error bound
B1,10.1016/j.jfa.2010.05.018,3,R1a;R6,Angles between infinite dimensional subspaces with applications to the Rayleigh–Ritz and alternating projectors methods,2010,10.1016/j.jfa.2010.05.018,,https://openalex.org/W2102867755,subspace angles with alternating projector error bounds
B1,10.1007/bf02551360,3,R1a;R6,"Oblique projections: Formulas, algorithms, and error bounds",1989,10.1007/bf02551360,,https://openalex.org/W2048108175,error bounds for oblique projection algorithms
B1,10.1016/j.jat.2006.02.006,3,R1a;R1b;R6,The rate of convergence for the cyclic projections algorithm II: Norms of nonlinear operators,2006,10.1016/j.jat.2006.02.006,,https://openalex.org/W1975567493,convergence rate/error bound for products of projections
B1,10.1016/j.jat.2016.02.001,3,R1a;R1b;R6,Ritt operators and convergence in the method of alternating projections,2016,10.1016/j.jat.2016.02.001,,https://openalex.org/W2207201412,convergence rate/error bound for products of projections
B1,10.1016/j.jat.2008.04.001,3,R1a;R1b;R6,The rate of convergence for the cyclic projections algorithm III: Regularity of convex sets,2008,10.1016/j.jat.2008.04.001,,https://openalex.org/W2002110362,convergence rate/error bound for products of projections
B1,10.1007/s11075-017-0310-4,3,R1a;R12,Convergence properties of dynamic string-averaging projection methods in the presence of perturbations,2017,10.1007/s11075-017-0310-4,,https://openalex.org/W2598135565,projection methods under perturbations; error accumulation
B2,10.48550/arxiv.1407.0671,3,R1b;R6,Optimal rates of convergence of matrices with applications,2014,10.48550/arxiv.1407.0671,,https://openalex.org/W2255188617,optimal convergence rates of matrix iterations
B2,10.1007/978-3-0348-6253-0_7,3,R1a;R1b;R6,Rate of Convergence of the Method of Alternating Projections,1984,10.1007/978-3-0348-6253-0_7,,https://openalex.org/W1577020372,convergence rate/error bound for products of projections
B2,10.1016/j.jmaa.2004.12.050,3,R1a;R1b;R6,On the rate of convergence of the alternating projection method in finite dimensional spaces,2005,10.1016/j.jmaa.2004.12.050,,https://openalex.org/W2020004242,convergence rate/error bound for products of projections
B2,10.1007/s11075-015-0085-4,3,R1a;R1b;R6,Optimal Rates of Linear Convergence of Relaxed Alternating Projections and Generalized Douglas-Rachford Methods for Two Subspaces,2015,10.1007/s11075-015-0085-4,,https://openalex.org/W2287475882,"sharp linear rates for products of projections, two subspaces"
B2,10.1007/s10589-021-00275-6,3,R1a;R6,The circumcentered-reflection method achieves better rates than alternating projections,2021,10.1007/s10589-021-00275-6,,https://openalex.org/W3046171782,convergence rates of projection-type methods vs alternating projections
B2,10.1080/03081088308817526,3,R1a;R6,A limit theorem for projections,1983,10.1080/03081088308817526,,https://openalex.org/W2013548809,limit theorem for products of projections; possible rate content
B2,10.1016/j.jmaa.2010.01.036,3,R2;R7,Numerical range and quasi-sectorial contractions,2010,10.1016/j.jmaa.2010.01.036,,https://openalex.org/W1970014489,numerical range of quasi-sectorial contractions; possible product bounds
B2,10.1103/prxquantum.4.020304,3,R1a;R9;R10,Density-Matrix Renormalization Group Algorithm for Simulating Quantum Circuits with a Finite Fidelity,2023,10.1103/prxquantum.4.020304,,https://openalex.org/W4362737055,truncation fidelity accumulation in circuit DMRG
B2,10.1007/s11075-018-0608-x,3,R1a;R1b;R6,Optimal rates of linear convergence of the averaged alternating modified reflections method for two subspaces,2018,10.1007/s11075-018-0608-x,,https://openalex.org/W2769692372,sharp linear rates for reflection/projection method on two subspaces
B2,10.1016/0022-247x(86)90085-5,3,R1a;R6,On the von Neumann alternating algorithm in Hilbert space,1986,10.1016/0022-247x(86)90085-5,,https://openalex.org/W2045840720,von Neumann alternating projections in Hilbert space; possible rate results
B2,10.1007/s00211-012-0512-6,3,R1a;R1b;R6,On the Meany inequality with applications to convergence analysis of several row-action iteration methods,2012,10.1007/s00211-012-0512-6,,https://openalex.org/W2065791420,Meany inequality bounds norm of products of projections
B2,10.1016/j.jmaa.2014.11.044,3,R1a;R1b;R6,Compositions and convex combinations of averaged nonexpansive operators,2014,10.1016/j.jmaa.2014.11.044,,https://openalex.org/W1998428773,averagedness constants of compositions of operators
B2,10.1007/s10107-015-0964-4,3,R1a;R12,Convergence rates with inexact non-expansive operators,2015,10.1007/s10107-015-0964-4,,https://openalex.org/W1489128386,error accumulation with inexact nonexpansive operators
B2,10.1109/tac.2018.2808442,3,R1b;R6,Tight Global Linear Convergence Rate Bounds for Operator Splitting Methods,2018,10.1109/tac.2018.2808442,,https://openalex.org/W2793153125,tight rate bounds for operator splitting (projection-type)
B2,10.1016/j.jmaa.2020.124211,3,R1b;R6;R7,Tight coefficients of averaged operators via scaled relative graph,2020,10.1016/j.jmaa.2020.124211,,https://openalex.org/W3024233472,tight coefficients of composed averaged operators via geometric graph
B2,10.1016/j.jat.2010.05.002,3,R1a;R1b,Slow convergence of sequences of linear operators II: Arbitrarily slow convergence,2010,10.1016/j.jat.2010.05.002,,https://openalex.org/W2059478119,rates/slow convergence of operator (projection) products
C,10.1103/prxquantum.5.020366,3,R1b;R5;R7,Optimal Zeno Dragging for Quantum Control: A Shortcut to Zeno with Action-Based Scheduling Optimization,2024,10.1103/prxquantum.5.020366,,https://openalex.org/W4400039935,optimal Zeno dragging schedule; possible equal-angle extremization
C,10.48550/arxiv.2311.01631,3,R1b;R5;R7,Optimal Zeno Dragging for Quantum Control: A Shortcut to Zeno with Action-based Scheduling Optimization,2023,10.48550/arxiv.2311.01631,,https://openalex.org/W4388444392,optimal Zeno dragging schedule; possible equal-angle extremization
C,10.22331/q-2020-07-06-289,3,R1a;R7,Quantum Zeno Dynamics from General Quantum Operations,2020,10.22331/q-2020-07-06-289,,https://openalex.org/W2893407141,Zeno limit for repeated operations; possible convergence bounds
C,10.1103/glcd-gm3v,3,R1a;R7,Higher-order Zeno sequences,2026,10.1103/glcd-gm3v,,https://openalex.org/W4416778166,higher-order Zeno sequences; error-rate scaling
C,10.1512/iumj.1972.21.21080,3,R1a;R5,,1972,10.1512/iumj.1972.21.21080,,https://openalex.org/W4232488476,missing title; Zeno family 1972 IUMJ (possibly projection product formulas) - resolve
A,10.1007/s40324-018-00184-5,3,R1a;R3;R9,Truncation of tensors in the hierarchical format (Hackbusch),2021,10.1007/s40324-018-00184-5,,,added from L3 tensor agent: not read in full
A,10.18154/rwth-2020-05412,3,R1a;R9,Kraemer PhD thesis RWTH 2020 (tree tensor truncation/approximation),2020,10.18154/RWTH-2020-05412,,,added from L3 tensor agent
A,arxiv:2112.01474,3,R1a;R9,"Bachmayr, Nouy, Schneider arXiv:2112.01474",2021,,2112.01474,,added from L3 tensor agent
